Store,Region,Zone,DOA,Area,LTL/New,Nature,Grading,Tier,Organization,StoreCode,StatusMyntra,StatusAmazon,StatusOmni,Language
KOTA-RANGBARI,RAJASTHAN-2,NORTH,######,8834,NA,Fashion,NA,NA,Vmart,101284,0,0,1,Hindi
KOTWALI,UP10,UP,21-Oct-14,7039,NA,Fashion,NA,NA,Vmart,100801,0,0,1,Hindi
KRISHNANAGAR-WEST BENGAL,WB 1,EAST/JHK,21-Sep-18,7516,NA,Fashion,NA,NA,Vmart,101182,0,0,0,Bangla
THRISSUR,KER,SOUTH,######,14818,NA,Non Saral,NA,NA,Unlimited,101530,0,0,0,#N/A
LAJPATNAGAR,DELHI NCR,NORTH,18-Sep-04,7200,NA,Fashion,NA,NA,Vmart,5,0,0,1,Hindi
LAKHIMPUR,UP6,UP,11-Apr-13,9700,NA,Fashion,NA,NA,Vmart,87,0,0,0,Hindi
LAL BANGLA-KANPUR,UP2,UP,######,9104,NA,Fashion,NA,NA,Vmart,101228,0,1,0,Hindi
LALGANJ,UP3,UP,23-Apr-17,6299,NA,Fashion,NA,NA,Vmart,101060,0,0,0,Hindi
LATEHAR,JHK1,EAST/JHK,27-Sep-17,7300,NA,Fashion,NA,NA,Vmart,101045,0,0,0,Hindi
LAWGARDEN,GUJRAT,NORTH,05-Oct-03,7034,NA,Fashion,NA,NA,Vmart,1,0,0,0,Gujarati
LAXMINAGAR,DELHI NCR,NORTH,13-Jun-12,5610,NA,Fashion,NA,NA,Vmart,22,0,0,0,Hindi
LOHARDAGA,JHK1,EAST/JHK,######,9381,NA,Fashion,NA,NA,Vmart,101165,0,0,0,Hindi
LUCKNOW,UP13,UP,######,8500,NA,Composite,NA,NA,Vmart,29,0,0,0,Hindi
LUCKNOW-ARJUNGANJ,UP13,UP,23-Oct-19,8207,NA,Fashion,NA,NA,Vmart,101324,0,0,0,Hindi
LUCKNOW-BKT,UP8,UP,######,9000,NA,Fashion,NA,NA,Vmart,101267,0,0,0,Hindi
LUCKNOW-BUDHESHWAR,UP8,UP,01-Oct-19,5295,NA,Fashion,NA,NA,Vmart,101295,0,0,1,Hindi
LUCKNOW-DUBAGGA,UP8,UP,21-Feb-20,8060,NA,Fashion,NA,NA,Vmart,101199,0,0,0,Hindi
LUCKNOW-KHADRA,UP8,UP,######,7023,NA,Fashion,NA,NA,Vmart,101431,0,0,0,Hindi
LUCKNOW-KHURRAM NAGAR,UP8,UP,31-Jul-19,6983,NA,Fashion,NA,NA,Vmart,101268,0,0,0,Hindi
LUCKNOW-MAULVIGANJ,UP8,UP,######,6552,NA,Fashion,NA,NA,Vmart,101457,0,0,0,Hindi
LUCKNOW-QAISARBAGH,UP8,UP,14-Oct-19,6331,NA,Fashion,NA,NA,Vmart,101130,0,0,0,Hindi
LUCKNOW-RAJAJIPURAM 2,UP8,UP,19-Oct-19,7541,NA,Fashion,NA,NA,Vmart,101329,0,0,0,Hindi
LUXA,UP5,UP,######,7200,NA,Fashion,NA,NA,Vmart,67,0,0,0,Hindi
ELURU,RO AP,SOUTH,######,9900,NA,Non Saral,NA,NA,Unlimited,101503,0,0,0,#N/A
MADHEPURA,BIHAR 3,BIHAR,######,8750,NA,Fashion,NA,NA,Vmart,101057,0,0,0,Hindi
MADHUBANI,BIHAR 2,BIHAR,18-Sep-14,8246,NA,Fashion,NA,NA,Vmart,100719,0,0,0,Hindi
MADHUBANI-JHAJHARPUR,BIHAR 2,BIHAR,20-Oct-20,6533,NA,Fashion,NA,NA,Vmart,101374,0,0,0,Hindi
GUNTUR,RO AP,SOUTH,02-Oct-13,11752,NA,Non Saral,NA,NA,Unlimited,101499,0,0,1,#N/A
MAHARAJGANJ,UP4,UP,03-Jan-18,8209,NA,Fashion,NA,NA,Vmart,101134,0,0,0,Hindi
MAINPURI-STATION ROAD,UP7,NORTH,######,5793,NA,Fashion,NA,NA,Vmart,101251,0,0,0,Hindi
MAJRA-DEHRADUN,UP1,NORTH,08-Jun-18,7593,NA,Fashion,NA,NA,Vmart,101162,0,0,0,Hindi
MALDAHIYA,UP5,UP,23-Feb-10,14091,NA,Composite,NA,NA,Vmart,101378,0,1,0,Hindi
KADAPA,RO AP,SOUTH,09-Jan-19,11103,NA,Non Saral,NA,NA,Unlimited,101506,0,0,1,#N/A
KAKINADA,RO AP,SOUTH,10-Jan-18,9000,NA,Non Saral,NA,NA,Unlimited,101504,0,0,1,#N/A
MANGLAM,UP4,UP,16-Oct-11,10036,NA,Composite,NA,NA,Vmart,68,0,0,0,Hindi
MANGLAUR,UP1,NORTH,######,7402,NA,Fashion,NA,NA,Vmart,101132,0,0,0,Hindi
MATHURA,UP7,NORTH,######,6550,NA,Fashion,NA,NA,Vmart,82,0,0,0,Hindi
MAU,UP3,UP,######,8382,NA,Fashion,NA,NA,Vmart,86,0,0,0,Hindi
MAU-GHOSI,UP3,UP,21-Jul-21,7723,NA,Fashion,NA,NA,Vmart,101477,0,0,0,Hindi
MEERUT,DELHI NCR,NORTH,24-Oct-08,6750,NA,Fashion,NA,NA,Vmart,35,0,0,0,Hindi
MEHSANA,GUJRAT,NORTH,08-Oct-08,6394,NA,Composite,NA,NA,Vmart,36,0,0,0,Gujarati
MIRZAPUR-TELIAGANJ,UP5,UP,######,9000,NA,Composite,NA,NA,Vmart,101475,0,0,0,Hindi
KHAMMAM,RO AP,SOUTH,30-Sep-17,10482,NA,Non Saral,NA,NA,Unlimited,101570,0,0,1,#N/A
MORVI,GUJRAT,NORTH,23-Jun-13,6056,NA,Fashion,NA,NA,Vmart,100055,0,0,0,Gujarati
MOTIHARI,BIHAR 2,BIHAR,30-Sep-11,9000,NA,Composite,NA,NA,Vmart,65,0,0,0,Hindi
MUGHALSARAI,UP5,UP,######,8820,NA,Composite,NA,NA,Vmart,101146,0,0,0,Hindi
